metric,algorithm,value
hv,IMOGABKA,0.71916030665208419
hv,MOBKA,0
hv,NSGA-II,0
hv,NSGA-III,0
hv,MOEA/D,0
coverage_IMOGABKA_over_IMOGABKA,IMOGABKA,1
coverage_IMOGABKA_over_MOBKA,IMOGABKA,1
coverage_IMOGABKA_over_NSGA-II,IMOGABKA,1
coverage_IMOGABKA_over_NSGA-III,IMOGABKA,1
coverage_IMOGABKA_over_MOEA/D,IMOGABKA,1
coverage_MOBKA_over_IMOGABKA,MOBKA,0
coverage_MOBKA_over_MOBKA,MOBKA,1
coverage_MOBKA_over_NSGA-II,MOBKA,0
coverage_MOBKA_over_NSGA-III,MOBKA,0
coverage_MOBKA_over_MOEA/D,MOBKA,0
coverage_NSGA-II_over_IMOGABKA,NSGA-II,0
coverage_NSGA-II_over_MOBKA,NSGA-II,0.5
coverage_NSGA-II_over_NSGA-II,NSGA-II,1
coverage_NSGA-II_over_NSGA-III,NSGA-II,0.33333333333333331
coverage_NSGA-II_over_MOEA/D,NSGA-II,0.33333333333333331
coverage_NSGA-III_over_IMOGABKA,NSGA-III,0
coverage_NSGA-III_over_MOBKA,NSGA-III,0.5
coverage_NSGA-III_over_NSGA-II,NSGA-III,0.2857142857142857
coverage_NSGA-III_over_NSGA-III,NSGA-III,1
coverage_NSGA-III_over_MOEA/D,NSGA-III,0.66666666666666663
coverage_MOEA/D_over_IMOGABKA,MOEA/D,0
coverage_MOEA/D_over_MOBKA,MOEA/D,0.5
coverage_MOEA/D_over_NSGA-II,MOEA/D,0
coverage_MOEA/D_over_NSGA-III,MOEA/D,0
coverage_MOEA/D_over_MOEA/D,MOEA/D,1
